participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
DODE8,tsl,0,delta,-3.2006184324281177,5.980868299059727,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,1,delta,-3.209511261815459,6.044610997289441,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,2,delta,-3.4096637889007897,6.339755774757203,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,3,delta,-3.4197833815209537,6.439103767503322,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,4,delta,-3.6100636712114476,7.49742146647032,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,5,delta,-4.692373973223241,11.519055166690457,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,6,delta,-7.097184352971915,20.551583953457722,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,7,delta,-9.227146313928184,31.52967566105384,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,8,delta,-9.781409304697771,39.167791975793094,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,9,delta,-9.48421829731275,43.91396712200589,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,10,delta,-8.92207582986903,48.23262460659407,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,11,delta,-8.095282380544667,52.646226328592086,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,12,delta,-6.947907115123428,55.646878843108496,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,13,delta,-5.968214289542161,55.40273775481117,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,14,delta,-6.032487867339768,52.8183731855325,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,15,delta,-6.921825422137523,50.860383515218565,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,16,delta,-7.177398400018994,50.38927228949545,6.4375,4.440625000000001,3.3625000000000003
DODE8,tsl,17,delta,-6.025043966649271,48.94441894478247,6.4375,4.440625000000001,3.3625000000000003
