participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
GNIE1,ser,0,delta,0.867130390934584,1.482527201112195,6.596875,6.540625,6.4
GNIE1,ser,1,delta,0.6409858403532029,1.361732998405207,6.596875,6.540625,6.4
GNIE1,ser,2,delta,0.5122991805608166,1.2840519556750059,6.596875,6.540625,6.4
GNIE1,ser,3,delta,0.5184482388694349,1.3056836667868463,6.596875,6.540625,6.4
GNIE1,ser,4,delta,0.5084146687002102,1.3417065526573722,6.596875,6.540625,6.4
GNIE1,ser,5,delta,0.3997818806985185,1.2740940938893328,6.596875,6.540625,6.4
GNIE1,ser,6,delta,0.4749139157434634,1.1507513456087337,6.596875,6.540625,6.4
GNIE1,ser,7,delta,0.9921598866848287,1.1577770768271867,6.596875,6.540625,6.4
GNIE1,ser,8,delta,1.743517087006325,1.3646720937680954,6.596875,6.540625,6.4
GNIE1,ser,9,delta,2.079779983717101,1.5935669417440543,6.596875,6.540625,6.4
GNIE1,ser,10,delta,1.5852504628916488,1.6120711678278048,6.596875,6.540625,6.4
GNIE1,ser,11,delta,0.7718151656118986,1.4022251513212578,6.596875,6.540625,6.4
GNIE1,ser,12,delta,0.5382670296797776,1.1764727045981571,6.596875,6.540625,6.4
GNIE1,ser,13,delta,1.2228576484605709,1.183414810542756,6.596875,6.540625,6.4
GNIE1,ser,14,delta,2.18353863222327,1.4151391016192783,6.596875,6.540625,6.4
GNIE1,ser,15,delta,2.524906177819285,1.6099584148204422,6.596875,6.540625,6.4
GNIE1,ser,16,delta,2.1848970015247913,1.5531060272577295,6.596875,6.540625,6.4
GNIE1,ser,17,delta,1.9419411802961264,1.3361858620314115,6.596875,6.540625,6.4
GNIE1,ser,18,delta,2.5708165242960854,1.2721885473521077,6.596875,6.540625,6.4
GNIE1,ser,19,delta,4.045664633008364,1.531055157254094,6.596875,6.540625,6.4
GNIE1,ser,20,delta,5.549777125102211,1.917590579050985,6.596875,6.540625,6.4
GNIE1,ser,21,delta,6.170374753326213,2.1260026604581035,6.596875,6.540625,6.4
GNIE1,ser,22,delta,5.803102607080184,2.1320250645131935,6.596875,6.540625,6.4
GNIE1,ser,23,delta,5.295842541628937,2.153276644680643,6.596875,6.540625,6.4
GNIE1,ser,24,delta,5.407314032140139,2.334805141212743,6.596875,6.540625,6.4
GNIE1,ser,25,delta,6.046847623622325,2.5394217513341957,6.596875,6.540625,6.4
GNIE1,ser,26,delta,6.549624760583896,2.5445387597966453,6.596875,6.540625,6.4
GNIE1,ser,27,delta,6.474937503632987,2.3596032403285503,6.596875,6.540625,6.4
GNIE1,ser,28,delta,6.111759605883523,2.225476065454148,6.596875,6.540625,6.4
GNIE1,ser,29,delta,5.909129875995692,2.3063577847220813,6.596875,6.540625,6.4
GNIE1,ser,30,delta,5.911430074809828,2.464485452667939,6.596875,6.540625,6.4
GNIE1,ser,31,delta,5.876550599938995,2.4769417008601495,6.596875,6.540625,6.4
GNIE1,ser,32,delta,5.541801666112489,2.3204028989692276,6.596875,6.540625,6.4
GNIE1,ser,33,delta,4.999377245387867,2.206333554289528,6.596875,6.540625,6.4
GNIE1,ser,34,delta,4.384359219672031,2.475134119276253,6.596875,6.540625,6.4
GNIE1,ser,35,delta,3.8114145775609964,3.5044714309926794,6.596875,6.540625,6.4
GNIE1,ser,36,delta,3.430511103139213,5.15542261541186,6.596875,6.540625,6.4
GNIE1,ser,37,delta,3.190084145355398,6.6669379161329365,6.596875,6.540625,6.4
GNIE1,ser,38,delta,2.874958437973862,7.328378352711817,6.596875,6.540625,6.4
GNIE1,ser,39,delta,2.3252620641946518,6.800413768519265,6.596875,6.540625,6.4
GNIE1,ser,40,delta,1.7045260574474368,6.10251671971511,6.596875,6.540625,6.4
GNIE1,ser,41,delta,1.6181491024602965,9.55361561991091,6.596875,6.540625,6.4
GNIE1,ser,42,delta,2.207936847237269,16.006185690733563,6.596875,6.540625,6.4
GNIE1,ser,43,delta,2.7430842058869445,20.32642158927157,6.596875,6.540625,6.4
GNIE1,ser,44,delta,2.79355053497717,21.899955983383347,6.596875,6.540625,6.4
GNIE1,ser,45,delta,2.7414932525931466,21.34210906157279,6.596875,6.540625,6.4
GNIE1,ser,46,delta,3.2293724836886266,19.181727641240073,6.596875,6.540625,6.4
GNIE1,ser,47,delta,4.347040588171763,18.256064379801142,6.596875,6.540625,6.4
GNIE1,ser,48,delta,5.306116671301263,20.02368097900467,6.596875,6.540625,6.4
GNIE1,ser,49,delta,5.647417621189705,21.631529212969195,6.596875,6.540625,6.4
GNIE1,ser,50,delta,5.7587817185715435,21.70097850418233,6.596875,6.540625,6.4
GNIE1,ser,51,delta,5.962188650156582,19.9009470778569,6.596875,6.540625,6.4
GNIE1,ser,52,delta,5.991868549418838,17.52435254481734,6.596875,6.540625,6.4
GNIE1,ser,53,delta,5.385642744999102,18.046414263337653,6.596875,6.540625,6.4
GNIE1,ser,54,delta,4.570703550282873,20.0114732421984,6.596875,6.540625,6.4
GNIE1,ser,55,delta,4.437219114217793,20.541112033274956,6.596875,6.540625,6.4
GNIE1,ser,56,delta,5.004889333985389,18.963240201031535,6.596875,6.540625,6.4
GNIE1,ser,57,delta,5.5180910655729924,14.59009026301188,6.596875,6.540625,6.4
GNIE1,ser,58,delta,5.540878276876495,8.122899811532884,6.596875,6.540625,6.4
GNIE1,ser,59,delta,1.540322307603737,1.2932496395975166,6.596875,6.540625,6.4
GNIE1,ser,0,theta,10.982942170035068,10.331825344951902,6.596875,6.540625,6.4
GNIE1,ser,1,theta,10.918061356878564,9.836125650487952,6.596875,6.540625,6.4
GNIE1,ser,2,theta,10.90666268909446,9.212977505926283,6.596875,6.540625,6.4
GNIE1,ser,3,theta,11.163899440430647,9.002283560051323,6.596875,6.540625,6.4
GNIE1,ser,4,theta,11.707662656375728,9.270097242871824,6.596875,6.540625,6.4
GNIE1,ser,5,theta,12.087899652421243,9.680704142869095,6.596875,6.540625,6.4
GNIE1,ser,6,theta,11.582664211647863,9.811303562814782,6.596875,6.540625,6.4
GNIE1,ser,7,theta,10.08350720738729,9.65554443487737,6.596875,6.540625,6.4
GNIE1,ser,8,theta,8.309882753740974,9.578127315844753,6.596875,6.540625,6.4
GNIE1,ser,9,theta,7.092827109075868,9.836800670088513,6.596875,6.540625,6.4
GNIE1,ser,10,theta,6.705730279653457,10.289171571941623,6.596875,6.540625,6.4
GNIE1,ser,11,theta,6.749639101921252,10.570689604902038,6.596875,6.540625,6.4
GNIE1,ser,12,theta,6.984999222255043,10.466156198857583,6.596875,6.540625,6.4
GNIE1,ser,13,theta,7.347829958169015,10.178971127981395,6.596875,6.540625,6.4
GNIE1,ser,14,theta,7.595948147456717,10.031569623843456,6.596875,6.540625,6.4
GNIE1,ser,15,theta,7.606618722827477,10.04246575508462,6.596875,6.540625,6.4
GNIE1,ser,16,theta,7.522940716641672,10.020998809387336,6.596875,6.540625,6.4
GNIE1,ser,17,theta,7.498482087452873,9.824699926245275,6.596875,6.540625,6.4
GNIE1,ser,18,theta,7.360350139129405,9.481774576985345,6.596875,6.540625,6.4
GNIE1,ser,19,theta,6.571439797669921,9.1841079551735,6.596875,6.540625,6.4
GNIE1,ser,20,theta,5.034588247057242,9.100317841193014,6.596875,6.540625,6.4
GNIE1,ser,21,theta,3.5454357246653316,9.119590312947548,6.596875,6.540625,6.4
GNIE1,ser,22,theta,3.2425584893147974,9.133980173113429,6.596875,6.540625,6.4
GNIE1,ser,23,theta,4.457542635565467,9.123888026380385,6.596875,6.540625,6.4
GNIE1,ser,24,theta,6.291899678085526,9.08249154938962,6.596875,6.540625,6.4
GNIE1,ser,25,theta,7.284970330833394,8.996437206116546,6.596875,6.540625,6.4
GNIE1,ser,26,theta,6.8595008651906415,8.848804635538203,6.596875,6.540625,6.4
GNIE1,ser,27,theta,5.71614336126388,8.642728828078734,6.596875,6.540625,6.4
GNIE1,ser,28,theta,4.8755564794781385,8.555622500174064,6.596875,6.540625,6.4
GNIE1,ser,29,theta,4.65699515124976,8.693557321679904,6.596875,6.540625,6.4
GNIE1,ser,30,theta,4.495297070850446,8.870091487746018,6.596875,6.540625,6.4
GNIE1,ser,31,theta,3.6983522418756287,8.947488315662584,6.596875,6.540625,6.4
GNIE1,ser,32,theta,2.3439246556193343,9.041006508045413,6.596875,6.540625,6.4
GNIE1,ser,33,theta,1.1709885440188472,9.355329844683748,6.596875,6.540625,6.4
GNIE1,ser,34,theta,0.8331545888898724,9.936858925167563,6.596875,6.540625,6.4
GNIE1,ser,35,theta,1.4448901856944651,10.325231132450217,6.596875,6.540625,6.4
GNIE1,ser,36,theta,2.2662210987269145,10.055557819576391,6.596875,6.540625,6.4
GNIE1,ser,37,theta,2.6013409635105944,9.322653629266902,6.596875,6.540625,6.4
GNIE1,ser,38,theta,2.3258164751222488,8.67665738883774,6.596875,6.540625,6.4
GNIE1,ser,39,theta,1.6343510803847554,8.59834943260853,6.596875,6.540625,6.4
GNIE1,ser,40,theta,0.9919917939773892,9.343086963267044,6.596875,6.540625,6.4
GNIE1,ser,41,theta,0.7860454121902052,10.65006832821809,6.596875,6.540625,6.4
GNIE1,ser,42,theta,0.8839849347839515,11.501898803966123,6.596875,6.540625,6.4
GNIE1,ser,43,theta,0.7851045625998445,11.88823028428735,6.596875,6.540625,6.4
GNIE1,ser,44,theta,0.21515889087707407,12.336980969053975,6.596875,6.540625,6.4
GNIE1,ser,45,theta,-0.5481918660857019,12.873398011663078,6.596875,6.540625,6.4
GNIE1,ser,46,theta,-0.8787291208971393,13.211117883001538,6.596875,6.540625,6.4
GNIE1,ser,47,theta,-0.5904063877268175,13.112144931005039,6.596875,6.540625,6.4
GNIE1,ser,48,theta,-0.2486064438594351,12.825115264514807,6.596875,6.540625,6.4
GNIE1,ser,49,theta,-0.45556769454632295,12.673948599219388,6.596875,6.540625,6.4
GNIE1,ser,50,theta,-0.9821530272974393,12.694743439413163,6.596875,6.540625,6.4
GNIE1,ser,51,theta,-1.1557223751565164,12.743257710071017,6.596875,6.540625,6.4
GNIE1,ser,52,theta,-1.0272518271576683,12.855490487506959,6.596875,6.540625,6.4
GNIE1,ser,53,theta,-1.3134859467622064,13.21091365624638,6.596875,6.540625,6.4
GNIE1,ser,54,theta,-2.15777488986369,13.50694151310923,6.596875,6.540625,6.4
GNIE1,ser,55,theta,-2.765198647891456,13.511758188998748,6.596875,6.540625,6.4
GNIE1,ser,56,theta,-2.4100029167005204,13.096076696737857,6.596875,6.540625,6.4
GNIE1,ser,57,theta,-1.1561919382466073,12.13824884048281,6.596875,6.540625,6.4
GNIE1,ser,58,theta,0.0461349463790679,10.870556028405286,6.596875,6.540625,6.4
GNIE1,ser,59,theta,0.1192775784859772,2.9117145443856387,6.596875,6.540625,6.4
GNIE1,ser,0,alpha,-2.136402767239792,10.277350574218477,6.596875,6.540625,6.4
GNIE1,ser,1,alpha,-1.8007439177492124,10.251499776278827,6.596875,6.540625,6.4
GNIE1,ser,2,alpha,-1.3324205425906435,10.393181659052459,6.596875,6.540625,6.4
GNIE1,ser,3,alpha,-0.9289672280536827,10.618952353333809,6.596875,6.540625,6.4
GNIE1,ser,4,alpha,-0.6405550693945621,10.77804815428797,6.596875,6.540625,6.4
GNIE1,ser,5,alpha,-0.46369424270817206,10.80112117079361,6.596875,6.540625,6.4
GNIE1,ser,6,alpha,-0.42116746565621277,10.74028109824371,6.596875,6.540625,6.4
GNIE1,ser,7,alpha,-0.4554518438381301,10.677512863534083,6.596875,6.540625,6.4
GNIE1,ser,8,alpha,-0.2702515709022997,10.682780520602556,6.596875,6.540625,6.4
GNIE1,ser,9,alpha,0.2415089127601533,10.749680927322991,6.596875,6.540625,6.4
GNIE1,ser,10,alpha,0.8022488143778652,10.842843288027773,6.596875,6.540625,6.4
GNIE1,ser,11,alpha,1.0909282500099042,11.004931949081907,6.596875,6.540625,6.4
GNIE1,ser,12,alpha,1.0392880323187637,11.274624850575837,6.596875,6.540625,6.4
GNIE1,ser,13,alpha,0.9100664065913708,11.624777300763334,6.596875,6.540625,6.4
GNIE1,ser,14,alpha,0.9250581692942461,11.95880251209535,6.596875,6.540625,6.4
GNIE1,ser,15,alpha,0.9213577169630831,12.23196408909796,6.596875,6.540625,6.4
GNIE1,ser,16,alpha,0.6072253039301838,12.519536348063456,6.596875,6.540625,6.4
GNIE1,ser,17,alpha,-0.05106378086092178,12.882093623542382,6.596875,6.540625,6.4
GNIE1,ser,18,alpha,-0.8169658046789419,13.240430186139836,6.596875,6.540625,6.4
GNIE1,ser,19,alpha,-1.230354819854842,13.425826202623956,6.596875,6.540625,6.4
GNIE1,ser,20,alpha,-1.0163687557058836,13.411014055629105,6.596875,6.540625,6.4
GNIE1,ser,21,alpha,-0.4232053322814302,13.335753651199973,6.596875,6.540625,6.4
GNIE1,ser,22,alpha,-0.10328945232484443,13.377938432249703,6.596875,6.540625,6.4
GNIE1,ser,23,alpha,-0.5865232939807346,13.554077569111406,6.596875,6.540625,6.4
GNIE1,ser,24,alpha,-1.6450720532456824,13.734761156209935,6.596875,6.540625,6.4
GNIE1,ser,25,alpha,-2.363322971304198,13.889799987966192,6.596875,6.540625,6.4
GNIE1,ser,26,alpha,-2.265221310973587,14.036594248451202,6.596875,6.540625,6.4
GNIE1,ser,27,alpha,-1.8148419360035586,14.113545978557251,6.596875,6.540625,6.4
GNIE1,ser,28,alpha,-1.7361262968537545,13.96091985922892,6.596875,6.540625,6.4
GNIE1,ser,29,alpha,-2.109012405798996,13.557272691797984,6.596875,6.540625,6.4
GNIE1,ser,30,alpha,-2.2019237496000095,13.156902872183437,6.596875,6.540625,6.4
GNIE1,ser,31,alpha,-1.5418927015915713,13.04782329511617,6.596875,6.540625,6.4
GNIE1,ser,32,alpha,-0.48898580920531565,13.135578180835026,6.596875,6.540625,6.4
GNIE1,ser,33,alpha,0.361316283910158,12.964396311989816,6.596875,6.540625,6.4
GNIE1,ser,34,alpha,0.7515728557957342,12.28507976256731,6.596875,6.540625,6.4
GNIE1,ser,35,alpha,0.771010605411,11.422011517135918,6.596875,6.540625,6.4
GNIE1,ser,36,alpha,0.708217410759266,10.784406620437991,6.596875,6.540625,6.4
GNIE1,ser,37,alpha,0.7377356151563532,10.46846562129106,6.596875,6.540625,6.4
GNIE1,ser,38,alpha,0.9629352974211347,10.238093271438638,6.596875,6.540625,6.4
GNIE1,ser,39,alpha,1.425707211687163,9.954205594696116,6.596875,6.540625,6.4
GNIE1,ser,40,alpha,1.893667783224629,9.652359368249645,6.596875,6.540625,6.4
GNIE1,ser,41,alpha,1.9354228193179317,8.96941617167592,6.596875,6.540625,6.4
GNIE1,ser,42,alpha,1.5997179601148233,8.017717665465828,6.596875,6.540625,6.4
GNIE1,ser,43,alpha,1.4598327472779502,7.3126822209738975,6.596875,6.540625,6.4
GNIE1,ser,44,alpha,1.6552378376020105,6.854537669671467,6.596875,6.540625,6.4
GNIE1,ser,45,alpha,1.7697579775200385,6.679126388498808,6.596875,6.540625,6.4
GNIE1,ser,46,alpha,1.2312191786589235,6.893082170022197,6.596875,6.540625,6.4
GNIE1,ser,47,alpha,0.21842494838373305,7.0261657300921385,6.596875,6.540625,6.4
GNIE1,ser,48,alpha,-0.2642981993693052,6.679983974314255,6.596875,6.540625,6.4
GNIE1,ser,49,alpha,0.25692385865281686,6.32846114630905,6.596875,6.540625,6.4
GNIE1,ser,50,alpha,1.3259824258232662,6.440241942222947,6.596875,6.540625,6.4
GNIE1,ser,51,alpha,2.0095947364515734,7.1929209803844305,6.596875,6.540625,6.4
