participant,gender,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
TXNOY,Female,ser,0,delta,-0.1935753449552191,6.370646956149017,5.425,4.759375,6.7375
TXNOY,Female,ser,1,delta,-0.09824216980856537,5.951624289390725,5.425,4.759375,6.7375
TXNOY,Female,ser,2,delta,-0.11053545263846587,5.500759572542352,5.425,4.759375,6.7375
TXNOY,Female,ser,3,delta,-0.2124952030962044,5.615068066105577,5.425,4.759375,6.7375
TXNOY,Female,ser,4,delta,-0.2834973232154683,5.9520197731477005,5.425,4.759375,6.7375
TXNOY,Female,ser,5,delta,-0.21523893566594055,6.002371274737532,5.425,4.759375,6.7375
TXNOY,Female,ser,6,delta,-0.07900875273677332,5.514809390283011,5.425,4.759375,6.7375
TXNOY,Female,ser,7,delta,-0.0024167352809687515,4.7866675508285095,5.425,4.759375,6.7375
TXNOY,Female,ser,8,delta,-0.0023768747899950426,4.671004232103623,5.425,4.759375,6.7375
TXNOY,Female,ser,9,delta,-0.03432355274640919,5.113692798844149,5.425,4.759375,6.7375
TXNOY,Female,ser,10,delta,-0.03820106772533638,5.41991548338774,5.425,4.759375,6.7375
TXNOY,Female,ser,11,delta,0.0133790347186995,5.20086664504784,5.425,4.759375,6.7375
TXNOY,Female,ser,12,delta,0.07618748088342997,4.413826437798209,5.425,4.759375,6.7375
TXNOY,Female,ser,13,delta,0.1056615578728608,3.392098012585306,5.425,4.759375,6.7375
TXNOY,Female,ser,14,delta,0.11336320246830134,2.816170967834997,5.425,4.759375,6.7375
TXNOY,Female,ser,15,delta,0.13102087562810683,2.7331044821978048,5.425,4.759375,6.7375
TXNOY,Female,ser,16,delta,0.1548814011723647,2.7618749903938196,5.425,4.759375,6.7375
TXNOY,Female,ser,17,delta,0.17010111236330516,2.7061910609240094,5.425,4.759375,6.7375
TXNOY,Female,ser,18,delta,0.20017842030170208,2.552945765088077,5.425,4.759375,6.7375
