participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
VHY9N,bbs,0,delta,-1.4633380677953403,4.635072854366856,7.843750000000001,1.365625,5.63125
VHY9N,bbs,1,delta,0.26065257221707583,4.926698790856913,7.843750000000001,1.365625,5.63125
VHY9N,bbs,2,delta,1.5876654523100493,4.784352982622326,7.843750000000001,1.365625,5.63125
VHY9N,bbs,3,delta,2.0495659530945054,4.415058717904802,7.843750000000001,1.365625,5.63125
VHY9N,bbs,4,delta,2.1588140873726918,4.129368786067761,7.843750000000001,1.365625,5.63125
VHY9N,bbs,5,delta,2.137820552063408,3.9505075085650194,7.843750000000001,1.365625,5.63125
VHY9N,bbs,6,delta,2.0538883809337487,3.852104770347589,7.843750000000001,1.365625,5.63125
VHY9N,bbs,7,delta,2.1611885314232717,3.951146107880553,7.843750000000001,1.365625,5.63125
VHY9N,bbs,8,delta,2.179005920112337,4.426458185629765,7.843750000000001,1.365625,5.63125
VHY9N,bbs,9,delta,2.0349797108305756,5.13503498844937,7.843750000000001,1.365625,5.63125
VHY9N,bbs,10,delta,2.0032601083016526,5.6636154479579055,7.843750000000001,1.365625,5.63125
VHY9N,bbs,11,delta,2.176484058260373,5.723085915513876,7.843750000000001,1.365625,5.63125
VHY9N,bbs,12,delta,2.493884131396127,5.31362185101659,7.843750000000001,1.365625,5.63125
VHY9N,bbs,13,delta,2.6873085909102077,4.835709298071869,7.843750000000001,1.365625,5.63125
VHY9N,bbs,14,delta,2.3461998822957573,4.709033849320566,7.843750000000001,1.365625,5.63125
VHY9N,bbs,15,delta,1.7793636166397366,4.8739843026244545,7.843750000000001,1.365625,5.63125
VHY9N,bbs,16,delta,1.3410428662201594,5.088962123576321,7.843750000000001,1.365625,5.63125
VHY9N,bbs,17,delta,0.948803884745903,5.258542390532477,7.843750000000001,1.365625,5.63125
VHY9N,bbs,18,delta,0.49375017578370706,5.479259366106959,7.843750000000001,1.365625,5.63125
VHY9N,bbs,19,delta,0.1202535297254057,5.889305582631334,7.843750000000001,1.365625,5.63125
VHY9N,bbs,20,delta,-0.3564793540841782,6.336008711191356,7.843750000000001,1.365625,5.63125
VHY9N,bbs,21,delta,-0.9181242735428352,6.5203731975494374,7.843750000000001,1.365625,5.63125
VHY9N,bbs,22,delta,-1.4483687573272785,6.302600867785961,7.843750000000001,1.365625,5.63125
VHY9N,bbs,23,delta,-1.8795345606245855,5.771613484039771,7.843750000000001,1.365625,5.63125
VHY9N,bbs,24,delta,-1.946129051012436,5.200655058830364,7.843750000000001,1.365625,5.63125
VHY9N,bbs,25,delta,-1.992961749229198,4.857835566286591,7.843750000000001,1.365625,5.63125
VHY9N,bbs,26,delta,-2.5723965304458813,4.725908718391683,7.843750000000001,1.365625,5.63125
VHY9N,bbs,27,delta,-3.447917614224223,4.522663707323966,7.843750000000001,1.365625,5.63125
VHY9N,bbs,28,delta,-4.103697506826164,4.1616312139759195,7.843750000000001,1.365625,5.63125
VHY9N,bbs,29,delta,-4.096280106085344,3.826706533844714,7.843750000000001,1.365625,5.63125
VHY9N,bbs,30,delta,-3.4767893807004695,3.721860110446813,7.843750000000001,1.365625,5.63125
VHY9N,bbs,31,delta,-3.1627495182181127,3.76111884363801,7.843750000000001,1.365625,5.63125
VHY9N,bbs,32,delta,-3.6011510418388686,3.572212245949598,7.843750000000001,1.365625,5.63125
VHY9N,bbs,33,delta,-3.853970474465167,3.0501875649445918,7.843750000000001,1.365625,5.63125
VHY9N,bbs,34,delta,-3.031463671447405,2.5562783390875827,7.843750000000001,1.365625,5.63125
VHY9N,bbs,35,delta,-1.4741111375110894,2.421860305384106,7.843750000000001,1.365625,5.63125
VHY9N,bbs,36,delta,-0.28399614129013884,2.5747075044682672,7.843750000000001,1.365625,5.63125
VHY9N,bbs,37,delta,-0.11275871809106608,2.6383882491847777,7.843750000000001,1.365625,5.63125
VHY9N,bbs,38,delta,-0.5839303073254922,2.464221405619892,7.843750000000001,1.365625,5.63125
VHY9N,bbs,39,delta,-0.8558880851698785,2.2982057246470236,7.843750000000001,1.365625,5.63125
VHY9N,bbs,40,delta,-0.5312030745794285,2.3921581040209308,7.843750000000001,1.365625,5.63125
VHY9N,bbs,41,delta,0.03251163684049718,2.65147856057781,7.843750000000001,1.365625,5.63125
VHY9N,bbs,42,delta,0.2550867602889544,2.7382083534330217,7.843750000000001,1.365625,5.63125
VHY9N,bbs,43,delta,0.0018090641120274142,2.533830441177129,7.843750000000001,1.365625,5.63125
VHY9N,bbs,44,delta,-0.3382781360582068,2.302108701441786,7.843750000000001,1.365625,5.63125
VHY9N,bbs,45,delta,-0.2527482775152756,2.3483523124361048,7.843750000000001,1.365625,5.63125
VHY9N,bbs,46,delta,0.24490803849673792,2.6390907970534503,7.843750000000001,1.365625,5.63125
VHY9N,bbs,47,delta,0.726229887130982,2.83328795842601,7.843750000000001,1.365625,5.63125
VHY9N,bbs,48,delta,0.930683838052003,2.7106314593384013,7.843750000000001,1.365625,5.63125
VHY9N,bbs,49,delta,0.9838891947820425,2.4061830281914265,7.843750000000001,1.365625,5.63125
VHY9N,bbs,50,delta,1.0788479435490264,2.1893439686435268,7.843750000000001,1.365625,5.63125
VHY9N,bbs,51,delta,1.1309766168497823,2.1646169285904797,7.843750000000001,1.365625,5.63125
VHY9N,bbs,52,delta,0.959755711207795,2.2105493027938214,7.843750000000001,1.365625,5.63125
VHY9N,bbs,53,delta,0.6232521859785511,2.210466847913863,7.843750000000001,1.365625,5.63125
VHY9N,bbs,54,delta,0.4451573628486112,2.1623524824868716,7.843750000000001,1.365625,5.63125
VHY9N,bbs,55,delta,0.6343477064042418,2.1419296276537168,7.843750000000001,1.365625,5.63125
VHY9N,bbs,56,delta,0.9609514013270353,2.155382545470492,7.843750000000001,1.365625,5.63125
VHY9N,bbs,57,delta,1.0049576615987608,2.1019416878694344,7.843750000000001,1.365625,5.63125
VHY9N,bbs,58,delta,0.7102075700445964,1.9599231471848073,7.843750000000001,1.365625,5.63125
VHY9N,bbs,59,delta,0.13901878094368647,0.5286199899514411,7.843750000000001,1.365625,5.63125
VHY9N,bbs,0,theta,-2.207234408173562,10.456287231567181,7.843750000000001,1.365625,5.63125
VHY9N,bbs,1,theta,-3.516245766592025,11.496154440558511,7.843750000000001,1.365625,5.63125
VHY9N,bbs,2,theta,-4.483865801863303,13.150290512512084,7.843750000000001,1.365625,5.63125
VHY9N,bbs,3,theta,-5.224274171019377,13.89925670782512,7.843750000000001,1.365625,5.63125
VHY9N,bbs,4,theta,-5.493961703206301,13.380397353488288,7.843750000000001,1.365625,5.63125
VHY9N,bbs,5,theta,-5.049728658772594,12.466648862733411,7.843750000000001,1.365625,5.63125
VHY9N,bbs,6,theta,-3.9192456150973545,12.058603885091582,7.843750000000001,1.365625,5.63125
VHY9N,bbs,7,theta,-2.9673375908459345,12.201168426276524,7.843750000000001,1.365625,5.63125
VHY9N,bbs,8,theta,-2.735353515699252,12.070282922749978,7.843750000000001,1.365625,5.63125
VHY9N,bbs,9,theta,-2.5216917178558464,11.377265153279554,7.843750000000001,1.365625,5.63125
VHY9N,bbs,10,theta,-1.8410060787647762,10.748317739229742,7.843750000000001,1.365625,5.63125
VHY9N,bbs,11,theta,-1.1800174866794393,10.708314940527284,7.843750000000001,1.365625,5.63125
VHY9N,bbs,12,theta,-1.353207540363604,11.179447665290876,7.843750000000001,1.365625,5.63125
VHY9N,bbs,13,theta,-2.3865829901982387,11.564233350687779,7.843750000000001,1.365625,5.63125
VHY9N,bbs,14,theta,-3.1490562027361104,11.475199734984187,7.843750000000001,1.365625,5.63125
VHY9N,bbs,15,theta,-2.8769343445199027,11.20288719897281,7.843750000000001,1.365625,5.63125
VHY9N,bbs,16,theta,-1.887204811732781,11.090198821775536,7.843750000000001,1.365625,5.63125
VHY9N,bbs,17,theta,-0.8939904989576615,11.118019416426415,7.843750000000001,1.365625,5.63125
VHY9N,bbs,18,theta,-0.3299625840217377,11.014072863311785,7.843750000000001,1.365625,5.63125
VHY9N,bbs,19,theta,0.06788887972338387,10.626779778307235,7.843750000000001,1.365625,5.63125
VHY9N,bbs,20,theta,0.5224257782516961,10.223554581226672,7.843750000000001,1.365625,5.63125
VHY9N,bbs,21,theta,0.8565423881087337,10.074538889905345,7.843750000000001,1.365625,5.63125
VHY9N,bbs,22,theta,0.6662132344114813,10.138854049768963,7.843750000000001,1.365625,5.63125
VHY9N,bbs,23,theta,-0.29588300986904237,10.369592198187927,7.843750000000001,1.365625,5.63125
VHY9N,bbs,24,theta,-1.5373387858705474,10.875020358177924,7.843750000000001,1.365625,5.63125
VHY9N,bbs,25,theta,-1.939198769616974,11.485689830910717,7.843750000000001,1.365625,5.63125
VHY9N,bbs,26,theta,-1.4933755352065265,11.643883124422299,7.843750000000001,1.365625,5.63125
VHY9N,bbs,27,theta,-0.7675279761596645,11.179214050671995,7.843750000000001,1.365625,5.63125
VHY9N,bbs,28,theta,-0.04019209779249344,10.486669821796923,7.843750000000001,1.365625,5.63125
VHY9N,bbs,29,theta,0.6111356714737965,10.100618668496349,7.843750000000001,1.365625,5.63125
VHY9N,bbs,30,theta,1.3024442622752819,10.303276926010223,7.843750000000001,1.365625,5.63125
VHY9N,bbs,31,theta,1.8172588974429633,10.719802285653824,7.843750000000001,1.365625,5.63125
