participant,video_id,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
3I6EY,jmi,delta,-1.4447990525335452,13.007367594143313,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,theta,1.047673873008879,24.03291596630901,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,alpha,0.1464818877465479,11.929677609302688,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,beta,-0.1008167044796231,21.94064931058293,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,gamma,0.5372773958716834,25.882860349486116,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,tsl,delta,-0.7544649170051487,7.944662145757976,1.271875,9.109375,3.025,LN,HP,LNP
3I6EY,tsl,theta,-1.0636365249764808,24.828083220459824,1.271875,9.109375,3.025,LN,HP,LNP
3I6EY,tsl,alpha,-0.1698303236438239,13.531903441455137,1.271875,9.109375,3.025,LN,HP,LNP
3I6EY,tsl,beta,-0.004790335685463276,23.61691507727283,1.271875,9.109375,3.025,LN,HP,LNP
3I6EY,tsl,gamma,1.9100358295033821,26.334640582535513,1.271875,9.109375,3.025,LN,HP,LNP
3I6EY,dph,delta,-0.6543459978417161,19.90353280998111,3.821875,3.521875,8.546875,LN,LP,HNP
3I6EY,dph,theta,1.783028520641981,23.50657988369396,3.821875,3.521875,8.546875,LN,LP,HNP
3I6EY,dph,alpha,-0.17491963411490907,11.117113131561265,3.821875,3.521875,8.546875,LN,LP,HNP
3I6EY,dph,beta,-0.4195059684842004,14.931832398114715,3.821875,3.521875,8.546875,LN,LP,HNP
3I6EY,dph,gamma,-0.5599129592023218,27.34981627440337,3.821875,3.521875,8.546875,LN,LP,HNP
3I6EY,goc,delta,-1.2188808633218766,14.377347994661907,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,theta,0.5160571420830813,28.36726958276003,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,alpha,0.023797136482583525,10.650075404294787,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,beta,0.20643961015166212,16.404003344294598,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,goc,gamma,0.4801399040158252,26.20144378133621,9.071875,1.6843750000000002,9.409375,HN,LP,HNP
3I6EY,bbs,delta,-1.4886243247746407,10.69263976131436,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,theta,1.7471197056352104,25.397183358398564,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,alpha,-0.5749974654856018,10.853298394917449,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,beta,0.0051760735803050295,19.819495309694993,1.7125,8.884374999999999,3.19375,LN,HP,LNP
3I6EY,bbs,gamma,0.49885596793044584,29.778761675373858,1.7125,8.884374999999999,3.19375,LN,HP,LNP
